Course Author(s),Course,Grade,Semester,Unit Name,Start Week,End Week,LO Code:,Learning Outcome,Essential Questions,Concepts,Skills,Textbook Materials and Resources,Evidence of Learning,Primary Grand Challenge,Capstone Connection,Pre-Requisites,Applications,Relations,Topic,Updated by,Last Update,Reviewer Comments,Course Materials,All Lesson Plans,Big Idea,Semester Theme,Unit Materials Folder,Course Color,WL Review Comments,Lesson Plan (this LO only)
,Art,1,Year Long,,,,AT.1.01,AT.1.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,Year Long,,,,AT.1.02,AT.1.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,1&2,,,,AT.1.03,AT.1.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,1,1&2,,,,AT.1.04,AT.1.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,1,,,,AT.2.01,AT.2.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,1,,,,AT.2.02,AT.2.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,2,,,,AT.2.03,AT.2.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Art,2,2,,,,AT.2.04,AT.2.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.01,CP.1.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.02,CP.1.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.03,CP.1.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,1,1,,,,CP.1.04,CP.1.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.01,CP.3.01 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.02,CP.3.02 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.03,CP.3.03 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.04,CP.3.04 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.05,CP.3.05 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.06,CP.3.06 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.07,CP.3.07 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.08,CP.3.08 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.09,CP.3.09 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.10,CP.3.10 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.11,CP.3.11 Original,,,,,,,,,,,,,,,,,,,,,,
,Capstone,3,1,,,,CP.3.12,CP.3.12 Original,,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.01,"Will be changed significantly. Create, interpret and analyze trigonometric ratios that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.02,Will be deleted. Apply the relationships between 2-D and 3-D objects in modeling situations.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.03,Will have the MA.1.03 code without the period. Understand similarity and use the concept for scaling to solve problems.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.04,"will be switched with 08. Apply volume formulas (pyramid, cones, spheres, prisms).",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1,,,,MA.1.05,"Will be switched to semester 1&2. Create, interpret and analyze functions, particularly linear and step functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1&2,,,,MA.1.06,"Will be unchanged. Analyze, display and describe quantitative data with a focus on standard deviation.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,1&2,,,,MA.1.07,"Will be switched to semester 2. Create, interpret and analyze quadratic functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.08,"Will be switched with 04. Create, interpret and analyze exponential and logarithmic functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.09,Will have a description that is very similar to 10.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.10,Will have a description that is very similar to 09.,,,,,,,,,,,,,,,,,,,,,,
,Math,1,2,,,,MA.1.11,"Will have period removed from description. Create, interpret and analyze systems of linear functions that model real-world situations.",,,,,,,,,,,,,,,,,,,,,,
,Math,2,1,,,,MA.2.01,Old Description 1,,,,,,,,,,,,,,,,,,,,,,
,Math,2,1,,,,MA.2.02,Old Description 2,,,,,,,,,,,,,,,,,,,,,,
,Math,2,1,,,,MA.2.03,Old Description 3,,,,,,,,,,,,,,,,,,,,,,
,Math,2,1,,,,MA.2.04,Old Description 4,,,,,,,,,,,,,,,,,,,,,,
,Math,2,1,,,,MA.2.05,Old Description 5,,,,,,,,,,,,,,,,,,,,,,
,Fab Lab,2,2,,,,FL.2.05,New Subject Description 1,,,,,,,,,,,,,,,,,,,,,,
